318815,34,27,0x669a40,0x669cb4
318818,34,27,0x669a44,0x669cb8
318822,34,27,0x669a48,0x669cc0
318826,34,27,0x669a4c,0x669cc4
318830,34,27,0x669a50,0x669cc8
318834,34,27,0x669a54,0x669cd0
318837,34,27,0x669a58,0x669cd4
318841,34,27,0x669a5c,0x669cd8
318845,34,27,0x669a60,0x669cdc
318849,34,27,0x669a64,0x669ce4
318852,34,27,0x669a68,0x669ce8
318856,34,27,0x669a6c,0x669cec
318860,34,27,0x669a70,0x669cf0
318864,34,27,0x669a74,0x669cf8
318868,34,27,0x669a78,0x669cfc
318871,34,27,0x669a7c,0x669d00
318875,34,27,0x669a80,0x669d04
318879,34,27,0x669a84,0x669d0c
318883,34,27,0x669a88,0x669d10
318886,34,27,0x669a8c,0x669d14
318890,34,27,0x669a90,0x669d18
318894,34,27,0x669a94,0x669d20
318898,34,27,0x669a98,0x669d24
318902,34,27,0x669a9c,0x669d28
318905,34,27,0x669aa0,0x669d2c
318909,34,27,0x669aa4,0x669d34
318913,34,27,0x669aa8,0x669d38
318917,34,27,0x669aac,0x669d3c
318920,34,27,0x669ab0,0x669d40
318924,34,27,0x669ab4,0x669d48
318928,34,27,0x669ab8,0x669d4c
