573929,34,27,0x669ac4,0x669d44
573945,34,27,0x669acc,0x669d50
573950,34,27,0x669ad0,0x669d54
573956,34,27,0x669ad4,0x669d58
573961,34,27,0x669ad8,0x669d5c
573968,34,27,0x669adc,0x669d60
573975,34,27,0x669ae0,0x669d64
573982,34,27,0x669ae4,0x669d68
573988,34,27,0x669ae8,0x669d70
573995,34,27,0x669aec,0x669d74
574002,34,27,0x669af0,0x669d78
574009,34,27,0x669af4,0x669d7c
574016,34,27,0x669af8,0x669d84
574022,34,27,0x669afc,0x669d88
574029,34,27,0x669b00,0x669d8c
574036,34,27,0x669b04,0x669d90
574043,34,27,0x669b08,0x669d98
574050,34,27,0x669b0c,0x669d9c
574056,34,27,0x669b10,0x669da0
574063,34,27,0x669b14,0x669da4
574070,34,27,0x669b18,0x669dac
574077,34,27,0x669b1c,0x669db0
574084,34,27,0x669b20,0x669db4
574090,34,27,0x669b24,0x669db8
574097,34,27,0x669b28,0x669dc0
574104,34,27,0x669b2c,0x669dc4
574111,34,27,0x669b30,0x669dc8
574118,34,27,0x669b34,0x669dd0
574124,34,27,0x669b38,0x669dd4
574131,34,27,0x669b3c,0x669dd8
574138,34,27,0x669b40,0x669ddc
